"","State","Year","BDPRP","CLPRB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","emissions","numInvestments","assistance"
"146","NH",2015,262.08,418688.848613754,30870.2964401156,29,11837,16105,822181.195981872,99186,431199.409006231,61342,292,160528,316649,2244.26444829782,40598,40598,4377,44976,3947,15.27856723,46,1371086
"147","NH",2016,398.58,420363.604008209,30993.7776258761,29,10574,15141,825469.920765799,112551,432924.206642256,56290,547,168841,307290,2253.24150609101,36335,36335,4415,40750,3991,13.81151032,40,3111505
"148","NH",2017,245.7,422045.058424242,31117.7527363796,29,13022,17718,828771.800448862,104493,434655.903468825,59871,875,164364,317785,2262.25447211537,37268,37268,4640,41908,3792,13.51181074,39,1307930
"149","NH",2018,278.46,423733.238657939,31242.2237473251,29,12336,17123,832086.887650658,105195,436394.5270827,56145,1056,161340,325655,2271.30349000383,34988,34988,3758,38747,3702,14.23973227,37,636384
"150","NH",2019,311.22,425428.171612571,31367.1926423144,29,13019,18137,835415.235201261,113890,438140.105191031,56018,1229,169909,319667,2280.38870396385,33945,33945,3624,37569,3859,13.9338009,26,739179
"151","NJ",2015,1195.74,427129.884299021,31492.6614128837,466,89,21721,838756.896142066,347851,439892.665611795,45205,20966,393056,2183497,2289.5102587797,6465,6465,15827,22292,201,103.6600002,47,1130951
"152","NJ",2016,1250.34,428838.403836217,31618.6320585352,466,88,23007,842111.923726634,312569,441652.236274242,46546,22261,359115,2140838,2298.66829981482,5994,5994,16299,22293,192,105.6200444,34,597439
"153","NJ",2017,191.1,430553.757451562,31745.1065867693,466,126,26428,845480.371421541,355948,443418.845219339,45602,25630,401550,2089145,2307.86297301408,3044,3044,15938,18982,207,99.35210038,48,881961
"154","NJ",2018,4750.93851891895,432275.972481368,31872.0870131164,466,324,29225,848862.292907227,334373,445192.520600217,48517,28230,382890,2194123,2317.09442490614,3690,3690,15601,19291,206,105.0688845,20,852979
"155","NJ",2019,4769.94227299463,434005.076371294,31999.5753611689,466,236,32602,852257.742078856,278147,446973.290682617,49363,31705,327510,2098952,2326.36280260576,3303,3303,13457,16761,196,100.8319854,17,314035
"156","NM",2015,4789.02204208661,357525,32127.5736626136,458,927,28119,1436329,205468.017033616,846659,38811,7257,2679324,681082,2335.66825381619,10131,10131,561,10692,19477,50.69183199,50,1126396
"157","NM",2016,4808.17813025495,246549,32256.083957264,499,1366,43741,1422598,206289.88910175,839040,54822,8591,2563009,673638,2345.01092683145,10673,10673,407,11080,33285,48.84541366,28,2015514
"158","NM",2017,4827.41084277597,257710,32385.1082930931,487,1780,57673,1506770,207115.048658157,986514,67408,13076,2818402,684366,2354.39097053878,9312,9312,423,9735,42330,49.62030346,47,5893114
"159","NM",2018,4846.72048614708,200179,32514.6487262654,487,1361,72070,1734539,207943.50885279,1421610,85241,14764,3441568,703100,2363.80853442093,12703,12703,468,13171,55457,45.85390881,22,755535
"160","NM",2019,4866.10736809167,268307,32644.7073211705,885,1409,78715,2068295,208775.282888201,1891645,94063,15047,4322310,738484,2373.26376855862,14994,14994,354,15348,61374,48.94208108,12,1493382
"161","NV",2015,4885.57179756403,435741.096676779,32775.2861504552,30535,21099,72737,4,209610.384019754,1606,75369,18216,76979,697627,2382.75682363285,2346,2346,286,2632,2886,38.5171354,16,790588
"162","NV",2016,4905.11408475429,437484.061063486,32906.387295057,32506,16518,85523,3,210448.825555833,1585,88587,33324,90175,727193,2392.28785092738,2291,2291,773,3064,3175,39.97099675,16,54082
"163","NV",2017,4924.73454109331,439233.99730774,33038.0128442372,31876,16700,94965,3,211290.620858056,1637,98128,43060,99768,757955,2401.85700233109,2320,2320,843,3163,3329,40.20696595,33,311016629
"164","NV",2018,4944.43347925768,440990.933296971,33170.1648956142,33066,17127,101584,3,212135.783341488,1455,105656,48548,107114,776588,2411.46443034041,3273,3273,799,4072,2844,41.38306985,57,535889
"165","NV",2019,4964.21121317471,442754.897030159,33302.8455551966,36359,19966,109226,5,212984.326474854,1527,113331,49969,114864,779141,2421.11028806178,3196,3196,909,4105,2933,41.74259297,22,201782
"166","NY",2015,10.92,444525.916618279,11060.28,1185,242429,288404,17879,466457,1635,409139,7729,895110,3838544,2430.79472921402,67532,67532,33410,100942,37061,174.3599244,104,5040800
"167","NY",2016,4984.06805802741,446304.020284753,12132.792,1185,248232,296467,13942,434791,1287,412994,10674,863014,3768794,2440.51790813088,61123,61123,33736,94858,36376,170.1509065,73,2403723
"168","NY",2017,5004.00433025952,448089.236365892,11768.904,1185,277725,330933,11760,441029,1105,447680,13919,901574,3776092,2450.2799797634,60164,60164,35562,95725,38105,165.8301752,52,789556
"169","NY",2018,5024.02034758056,449881.593311355,10559.136,1185,269752,325023,10994,448718,1261,442993,17686,903967,3946032,2460.08109968246,64730,64730,34356,99086,36401,175.0969653,60,13144827
"170","NY",2019,5044.11642897088,451681.119684601,11232.648,1185,272679,336052,11313,468481,1561,452190,22509,933544,3841948,2469.92142408119,64965,64965,31131,96096,39680,168.9712856,69,30602444
"171","OH",2015,6950.58,417682,43114.344,3435,4256,20579,1171552,181726,152650,164904,1678,2088513,3708157,2479.80110977751,45462,45462,14845,60307,11211,211.1966253,175,2513363
"172","OH",2016,8719.62,309088,44617.776,3435,4619,21425,1647241,175893,123595,166682,1874,2422499,3667777,2489.72031421662,41902,41902,14986,56888,11497,205.3227286,132,775584
"173","OH",2017,9161.88,233560,46517.016,3435,2555,23060,2009410,184997,114517,167037,2435,2709522,3616508,2499.67919547349,36933,36933,14829,51762,14635,205.0608887,118,10274821
"174","OH",2018,8992.62,219942,48298.152,3435,2222,24344,2652291,191483,129954,172901,2755,3366571,3762435,2509.67791225538,38942,38942,14287,53229,15932,208.9666748,52,6168918
"175","OH",2019,7982.52,192413,47669.328,3435,3585,28481,2901090,177624,159327,174087,3269,3604541,3637669,2519.7166239044,38646,38646,13949,52595,18192,196.6865897,44,2756315
"176","OK",2015,3505.32,17422,33436.0569374174,24,24825,155674,2880137,213836.263780754,949416,187199,71,4034174,1625556,2529.79549040002,22227,22227,5812,28038,130754,100.2883311,64,1677872
"177","OK",2016,4488.12,14440,33569.8011651671,24,23758,209175,2864577,214691.608835877,885142,243569,115,4007728,1624919,2539.91467236162,22216,22216,7712,29928,185278,96.1010241,58,1341097
"178","OK",2017,4668.3,12590,33704.0803698278,24,18760,236582,2936597,215550.37527122,949291,274848,382,4173327,1647508,2550.07433105107,28016,28016,5606,33622,217416,93.44516627,41,2449186
"179","OK",2018,4520.88,15121,33838.8966913071,24,18526,268128,3346437,216412.576772305,1140196,308589,691,4810343,1715294,2560.27462837527,30026,30026,5939,35965,248887,98.01036447,23,1495639
"180","OK",2019,4133.22,5153,33974.2522780723,24,34758,293834,3545508,217278.227079394,1228381,332320,734,5111362,1684997,2570.51572688877,28447,28447,5924,34371,258317,90.83789996,13,645165
"181","OR",2015,1190.28,453487.844163339,3022.824,2898,291255,358382,889,218147.339987712,448761.183845348,438941,2430,439830,971766,2580.79778979633,67931,67931,6041,73972,61799,37.89416845,169,6478283
"182","OR",2016,1403.22,455301.795539992,2885.568,2928,318960,391102,848,219019.929347663,450556.228580729,468111,3140,468959,988158,2591.12098095551,64827,64827,5634,70461,66075,37.66506368,162,104123811
"183","OR",2017,1490.58,457123.002722152,3096.24,2839,352802,417834,700,219896.009065054,452358.453495052,501442,4827,502142,1041344,2601.48546487934,70785,70785,5813,76598,57366,38.79038331,129,137275588
"184","OR",2018,1583.4,458951.494733041,3172.848,2837,322671,401773,529,220775.593101314,454167.887309032,486994,8464,487523,1021526,2611.89140673885,72116,72116,5854,77970,67802,39.58013113,96,3286698
"185","OR",2019,1501.5,460787.300711973,2847.264,2884,270017,340834,420,221658.695473719,455984.558858268,426391,9437,426811,1027578,2622.33897236581,73558,73558,5420,78977,58496,41.83917874,75,13382214
"186","PA",2015,3232.32,1278078,7287.336,2162,24264,61427,5119772,842044,40522,200534,3758,7480950,3897610,2632.82832825527,81888,81888,40968,122856,31244,232.9252268,102,4218295
"187","PA",2016,4782.96,1168609,7897.008,2162,21922,60247,5525743,867302,35888,196773,4071,7794315,3762485,2643.35964156829,76880,76880,40781,117661,32093,217.9773815,74,2394977
"188","PA",2017,5541.9,1260516,7405.44,2162,28775,68701,5769945,870187,37554,204952,4684,8143154,3766880,2653.93308013457,76403,76403,41107,117510,33080,215.2868489,53,2661655
"189","PA",2018,8304.66,1278056,7060.704,2162,38799,78545,6632662,872749,36963,220486,5111,9040917,3933425,2664.5488124551,81527,81527,39520,121047,32473,220.1938915,57,10494432
"190","PA",2019,5585.58,1250902,8168.328,2162,31195,68176,7296205,869084,37362,201783,5873,9655336,3818814,2675.20700770492,78020,78020,35453,113473,28946,218.7358219,58,2943270
"191","RI",2015,92.82,462630.449914821,34110.1492871846,57,29,477,855666.773047171,222545.330255614,457808.497093702,4886,298,4886,202693,2685.90783573574,2146,2146,2170,4315,94,10.80452453,11,671306
"192","RI",2016,131.04,464480.97171448,34246.5898843333,57,20,771,859089.44013936,223435.511576636,459639.731082076,4700,450,4700,185173,2696.65146707869,1688,1688,2110,3799,245,9.588941638,10,489512
"193","RI",2017,158.34,466338.895601338,34383.5762438707,57,22,2129,862525.797899917,224329.253622943,461478.290006405,5967,679,5967,182325,2707.438072947,1645,1645,2037,3682,1372,9.965275351,12,547069
"194","RI",2018,305.76,468204.251183743,34521.1105488462,57,37,2710,865975.901091517,225226.570637435,463324.20316643,6663,1173,6663,195556,2718.26782523879,1511,1511,2136,3647,1444,11.05692381,15,661136
"195","RI",2019,546,470077.068188478,34659.1949910415,57,32,4057,869439.804695883,226127.476919984,465177.499979096,8797,2131,8797,190581,2729.14089653974,2075,2075,2120,4194,1836,10.36524019,17,8838243
"196","SC",2015,327.6,471957.376461232,34797.8317710057,648,23897,24686,872917.563914666,555909,467038.209979012,128618,140,684526,1663373,2740.0574601259,98906,98906,4698,103604,52547.4818842667,73.39880613,60,3065630
"197","SC",2016,5064.29289468676,473845.205967077,34937.0230980897,648,20551,21612,876409.234170325,583883,468906.362818928,131043,412,714927,1658202,6011,104947,98936,4484,109432,52757.6718118038,72.25720541,77,22430291
"198","SC",2017,5084.55006626551,475740.586790946,35076.7711904821,648,16906,19592,879914.871107006,568390,470781.988270204,132533,2037,700923,1647778,5951,108601,102650,4340,112941,52968.702499051,69.96242998,84,68063288
"199","SC",2018,5104.88826653057,477643.549138109,35217.078275244,648,27437,35034,883434.530591434,551151,472665.116223285,147096,6949,698247,1675118,6992,107525,100533,4537,112062,53180.5773090472,74.14674879,123,64580916
"200","SC",2019,5125.30781959669,479554.123334662,35357.946588345,648,26503,37758,886968.2687138,585828,474555.776688178,149844,10607,735672,1640751,8179,107922,99742,4164,112086,53393.2996182834,69.44598066,49,53928982
"201","SD",2015,5145.80905087508,481472.339828,85092.336,1868,45202,70354,614,227031.986827664,9507,225499,10,235620,389999,2751.01768996641,2545,2545,424,2968,23274,14.13943764,63,3577721
"202","SD",2016,5166.39228707858,483398.229187312,86266.992,1868,44365,80538,511,227940.114774975,8045,237289,15,245846,388097,2762.02176072627,2146,2146,519,2665,34290,14.80376576,32,76031784
"203","SD",2017,5187.0578562269,485331.822104062,90011.208,1868,48419,77574,531,228851.875234075,7463,241029,32,249023,394141,2773.06984776918,2116,2116,544,2660,27255,14.65586638,18,3225820
"204","SD",2018,5207.8060876518,487273.149392478,92526.504,1868,57048,84755,494,229767.282735011,7264,254033,29,261791,406677,2784.16212716025,3218,3218,575,3793,25810,15.52399536,38,3826069
"205","SD",2019,5228.63731200241,489222.241990048,91958.328,1868,70484,97224,450,230686.351865951,6644,264674,33,271768,405954,2795.2987756689,2807,2807,543,3350,24839,15.97796876,21,538508
"206","TN",2015,185.64,23192,13230.84,213,89288,91221,4959,261037,1692,182019,1294,472899,2179722,2806.47997077157,61479,61479,5474,66953,427,98.70392565,104,3275928
"207","TN",2016,251.16,16596,14137.368,213,62538,64645,4180,309357,1471,154183,1546,485787,2207227,2817.70589065466,58624,58624,5411,64036,348,101.3548028,60,1102457
"208","TN",2017,245.7,11168,14220.36,213,80071,82362,3515,332779,1551,166421,1679,515435,2145679,2828.97671421728,52821,52821,5589,58411,399,97.40767095,28,889496
"209","TN",2018,2735.46,5922,13968.192,213,93705,96669,3737,378224,1198,186147,2378,575228,2233190,134,56329,56195,5446,61775,373,93.83598219,31,4038180
"210","TN",2019,4045.86,11341,13655.376,213,90206,94526,3221,372992,1202,181028,3769,569785,2171765,1606,54487,52880,3625,58111,338,92.23669942,45,6964195
"211","TX",2015,19071.78,471257,26305.272,2478,8913,435590,9392314,411571,7213013,583008,6397,18071163,12757827,2840.29262107415,54367,54367,27029,81397,417802,655.1432269,110,2671308
"212","TX",2016,23030.28,515707,27132,2478,12389,556938,8659990,440109,6683754,709194,10946,17008753,12986076,2851.65379155844,53208,53208,27667,80874,531124,656.7493464,176,83607077
"213","TX",2017,25438.14,474274,27652.296,2478,9784,655250,8735219,403523,7297941,810455,25155,17721412,13173303,2863.06040672468,55169,55169,25328,80497,617833,664.9673475,219,98254981
"214","TX",2018,29533.14,328812,26385.072,2478,10255,738209,9776991,430597,9181148,901492,36299,20619040,14009870,2874.51264835157,59316,59316,27387,86703,689177,684.6895943,261,46570295
"215","TX",2019,27824.16,308449,22870.68,2478,13139,808642,11323138,431234,10608326,963581,48385,23634727,14234096,5532,64868,59336,21569,86437,744639,683.2325698,122,9605822
"216","UT",2015,10.92,325216,35499.3783746984,4811,7164,18788,461219,231609.097273415,212307,23993,980,1022734,798313,2886.01069894498,3765,3765,1430,5195,5833,63.61302159,80,1243588
"217","UT",2016,5249.55186125042,310453,35641.3758881972,5287,7012,31057,401909,232535.533662509,174681,36562,11167,923606,807711,2897.55474174076,3981,3981,1523,5504,7591,58.82516698,114,612804
"218","UT",2017,5270.55006869542,317768,35783.94139175,5239,11919,48162,346868,233465.675797159,197089,53282,23097,915007,827453,2909.14496070772,3910,3910,1211,5120,7907,59.03113555,56,15437033
"219","UT",2018,5291.6322689702,305328,35927.077157317,4866,8440,44435,326320,234399.538500347,211790,50358,23895,893795,844319,2920.78154055055,4963,4963,959,5922,7234,61.24871623,41,668749
"220","UT",2019,5312.79879804608,326024,36070.7854659462,3572,7793,42278,299544,235337.136654349,210450,48225,23623,884243,855124,2932.46466671276,5028,5028,919,5947,7290,61.50322731,71,448561
"221","VA",2015,262.08,365832,3230.304,1701,10795,13300,134220,293455,63,137589,803,931160,2440821,2944.19452537961,97882,97882,20371,118254,53606.8728167565,107.6199041,31,2446464
"222","VA",2016,431.34,335590,1793.904,1701,13585,16391,126663,310966,40,139807,1105,913066,2420341,7829,100463,92635,19320,119784,53821.3003080235,110.0640459,49,853133
"223","VA",2017,442.26,343642,4037.88,1701,10285,16020,121571,319562,40,140979,4034,925794,2401427,7750,101834,94084,15470,117304,54036.5855092556,105.5838769,35,5764689
"224","VA",2018,704.34,318949,3466.512,1701,16067,26009,117273,305826,29,159914,8240,901990,2501044,8740,106680,97941,20327,127007,54252.7318512927,110.0554883,37,2735678
"225","VA",2019,327.6,320290,296.856,1701,13529,25398,111869,308013,34,142651,10167,882858,2460902,8715,97967,89252,18433,116400,54469.7427786978,106.76702,34,4195235
"226","VT",2015,5334.04999323827,491179.130958008,36215.06860781,29,10619,14724,890516.141788655,236278.485200966,476453.999794931,38784,1044,38784,140546,2955.97130348113,23753,23753,307,24060,3032,6.126831312,33,47317173
"227","VT",2016,5355.38619321122,493143.84748184,36359.9288822412,29,9948,14000,894078.20635581,237223.59914177,478359.815794111,35637,1335,35637,135276,2967.79518869505,21418,21418,220,21638,2688,5.913477445,37,873689
"228","VT",2017,5376.80773798407,495116.422871767,36505.3685977702,29,11796,16668,897654.519181233,238172.493538337,480273.255057287,37792,2029,37792,134076,2979.66636944983,20957,20957,167,21124,2814,5.831030624,23,4591717
"229","VT",2018,5398.314968936,497096.888563255,36651.3900721613,29,11546,17225,901245.137257958,239125.18351249,482194.348077516,41553,2252,41553,138642,2991.58503492763,24190,24190,137,24327,3399,5.854279866,23,493740
"230","VT",2019,5419.90822881175,499085.276117508,36797.9956324499,29,11906,18063,904850.11780699,240081.68424654,484123.125469826,40997,2767,40997,136905,3003.55137506734,22287,22287,646,22933,3361,6.020390617,27,1121855
"231","WA",2015,7289.1,501081.617221978,36945.1876149797,1136,684060,751781,908469.518278218,85347,486059.617971706,872328,649,957675,1995985,3015.56558056761,104876,104876,8421,113296,65936,75.13711456,109,1978193
"232","WA",2016,8413.86,503085.943690865,37092.9683654397,1136,723289,799624,912103.396351331,100674,488003.856443592,930780,957,1031454,2056396,3027.62784288988,114342,114342,8441,122783,74242,79.4036955,127,2515938
"233","WA",2017,9249.24,505098.287465629,37241.3402389014,1136,757151,823289,915751.809936736,85013,489955.871869367,950220,1201,1035233,2075340,3039.73835426144,109704,109704,8023,117726,63801,79.11865344,104,6910234
"234","WA",2018,10101,507118.680615491,37390.305599857,1136,736362,810926,919414.817176483,101502,491915.695356844,937724,1506,1039226,2054390,3051.89730767849,109222,109222,7526,116749,71922,78.65855426,104,3061489
"235","WA",2019,9871.68,509147.155337953,37539.8668222565,1136,587893,650831,923092.476445189,92584,493883.358138272,779076,2341,871660,2078663,3064.1048969092,110500,110500,7919,118419,59461,84.16948233,88,18389113
"236","WI",2015,2626.26,511183.743959305,42964.32,615,21813,37744,926784.84635097,104666,495858.891570825,223881,505,328547,1814408,3076.36131649684,97353,97353,9334,106687,14811,99.85701526,107,3755629
"237","WI",2016,3259.62,513228.478935142,44135.784,615,25806,40993,930491.985736374,106173,497842.327137108,224249,583,330423,1801012,3088.66676176282,91748,91748,9430,101178,13989,95.6153185,80,7777098
"238","WI",2017,1905.54,515281.392850883,45750.936,615,24481,41165,934213.953679319,100919,499833.696445656,224172,953,325091,1817947,3101.02142880988,90051,90051,9333,99384,15116,98.64308793,95,2622475
"239","WI",2018,2970.24,517342.518422287,48240.696,615,21777,38588,937950.809494036,105900,501833.031231439,232096,1287,337996,1896601,3113.42551452511,95231,95231,9044,104275,14909,101.1727696,75,2067441
"240","WI",2019,3510.78,519411.888495976,47880,615,23518,42338,941702.612732013,104736,503840.363356365,232452,1483,337188,1847846,3125.87921658322,92350,92350,8831,101181,16722,94.82242355,103,2915140
"241","WV",2015,5441.58786172699,2447181,37690.0262895455,32,12907,25858,1562536,241042.010983527,66157,37954,93,4113828,768657,3138.38273344955,11941,11941,155,12096,12825,91.96307825,69,491426
"242","WV",2016,5463.3542131739,2041073,37840.7863947037,32,15124,28482,1667404,242006.179027461,43693,39653,104,3791823,762366,3150.93626438335,11081,11081,90,11171,13222,94.48890006,54,614068
"243","WV",2017,5485.2076300266,2390309,37992.1495402825,32,15280,30937,1836375,242974.20374357,49372,41643,126,4317700,753016,3163.54000944088,10632,10632,75,10706,15499,90.84162772,88,673413
"244","WV",2018,5507.1484605467,2468639,38144.1181384436,32,16821,33107,2159553,243946.100558545,72689,45418,140,4746299,831311,3176.19416947864,12087,12087,225,12311,16114,89.14479553,48,946699
"245","WV",2019,5529.17705438889,2422224,38296.6946109974,32,15192,29912,2598072,244921.884960779,98325,41973,163,5160593,829454,3188.89894615656,11833,11833,227,12060,14525,85.44599619,44,790383
"246","WY",2015,5551.29376260645,6538240,667.128,663,8091,43791,1998295,245901.572500622,494355,49887,27,9080777,507121,3201.65454194118,4904,4904,2,4905,35009,64.09286316,18,249960
"247","WY",2016,5573.49893765687,5169939,38449.8813894414,663,8987,50206,1878141,246885.178790625,415795,54565,33,7518440,504984,3214.46116010895,4357,4357,2,4358,40522,61.25999315,23,1359346
"248","WY",2017,5595.7929334075,5516757,38603.6809149991,663,10352,50867,1788258,247872.719505787,433655,55916,45,7794586,534840,3227.31900474938,5049,5049,9770.296,5049,39806,62.79648656,47,413987
"249","WY",2018,5618.17610514113,5315953,38758.0956386591,663,8883,46550,1842525,248864.21038381,502031,51483,67,7711992,557604,3240.22828076838,4934,4934,9809.377184,4934,36936,63.84608066,53,573639
"250","WY",2019,5640.64880956169,4828513,38913.1280212138,663,8838,48259,1684374,249859.667225345,582170,53228,1688,7148285,546671,3253.18919389146,4969,4969,9848.614692736,4969,37070,59.09664881,32,570570
